year;title;studios;producers;winner
1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;yes
1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;
1994;The Specialist;Warner Bros.;Jerry Weintraub;yes
1980;The Formula;MGM, United Artists;Steve Shagan;
1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;
1980;The Nude Bomb;Universal Studios;Jennings Lang;
1983;Where the Boys Are '84;TriStar Pictures;Allan Carr;yes
1989;Road House;United Artists;Joel Silver;
1989;Speed Zone;Orion Pictures;Murray Shostack;yes
1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry and Joel Silver;yes
1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;yes
1990;The Bonfire of the Vanities;Warner Bros.;Brian De Palma;
1990;Graffiti Bridge;Warner Bros.;Randy Phillips and Craig Rice;
1990;Rocky V;United Artists;Robert Chartoff and Irwin Winkler;
1991;Hudson Hawk;TriStar Pictures;Joel Silver;yes
